,Symbol,Reward
205,BA,-69871963.53999075
206,BABA,-11248935.768130787
207,BAC,-71492067.73000453
208,BAH,-18661787.278614584
209,BALL,-69217697.85000648
210,BAM,-61628808.609998904
211,BAND,-8077375.163193888
212,BAP,-52315626.470004044
213,BAX,-68786912.9206096
214,BB,-56875750.84998752
215,BBBY,-66868655.68999959
216,BBD,-42019911.05993001
217,BBIO,-7443182.177629612
218,BBSEY,-15555296.602872882
219,BBU,-8744408.27349101
220,BBWI,-76413740.93000636
221,BBY,-75102250.56999823
222,BC,-73870098.25000535
223,BCE,-63356990.50150578
224,BCH,-33650972.61066867
225,BCO,-56917093.93999638
226,BCPC,-64744754.510004416
227,BDOUY,-10604447.430900233
228,BDX,-64932796.84999287
229,BE,-9394089.888750993
230,BEAM,-6207741.999144013
231,BECN,-40039005.37000106
232,BEKE,-5110772.770793928
233,BEN,-69256633.99008453
234,BEP,-22667425.522597875
235,BEPC,-2644487.863829627
236,BEPTF,-14607069.261711866
237,BERY,-15379563.069604658
238,BFAM,-12417846.741205037
239,BG,-42312739.21000329
240,BGNE,-10871593.533947684
241,BHC,-64466312.18004764
242,BHF,-6247385.695095787
243,BHFAP,-3361266.9485710985
244,BHVN,-10581497.64364288
245,BIDU,-33782520.64068778
246,BIGC,-4863502.920029623
247,BIIB,-75912660.30000626
248,BILI,-8389001.355737347
249,BILL,-5216756.682423391
250,BIO,-64934815.790008925
251,BIP,-27382937.5198098
252,BIPC,-2944993.6775820344
253,BJ,-5386504.277066014
254,BK,-71302818.1700013
255,BKH,-63558490.38000657
256,BKI,-8555276.369999977
257,BKNG,-55278000.250006594
258,BKR,-73234020.60999848
259,BKU,-18998614.560483538
260,BL,-9181414.89398484
261,BLCO,-942217.9763024847
262,BLD,-10057205.670000123
263,BLDP,-62971241.19000108
264,BLDR,-39888865.44999961
265,BLI,-3112995.650000003
266,BLK,-42341453.930000715
267,BLKB,-35984584.370000646
268,BLL,-63912263.04000123
269,BLSFF,29401523.54954195
270,BLUE,-19162265.959907033
271,BMBL,-3396835.572023307
272,BMCH,-8992495.900000006
273,BMI,-60695932.05000583
274,BMRN,-54291177.230002806
275,BMY,-67525665.31995986
276,BNL,-1878729.4310029158
277,BNR,-6120508.905091933
278,BNS,-33774636.44827396
279,BNTX,-5424815.137906784
280,BOH,-66696625.20000571
281,BOKF,-63956672.02999659
282,BOKFL,-2272793.089999999
283,BOWL,-2533127.327922973
284,BOX,-14530631.076856798
285,BPMC,-15884207.379999902
286,BPOP,-65805207.69999388
287,BPY,-7465650.459999984
288,BR,-26724588.320000432
289,BRC,-67486538.44000094
290,BRDCY,-12162173.900729468
291,BRDG,-2253668.5002619047
292,BRKR,-55602730.86999613
293,BRKS,-60184509.149992704
294,BRLXF,1656786.0857452878
295,BRO,-63493254.43999692
296,BROS,-2248226.097236325
297,BRP,-4831592.038323752
298,BRTHY,1930338.8090983431
299,BRX,-12301405.708601376
300,BRZE,-2142855.105065001
301,BSEFY,-842376.800000181
302,BSX,-66409246.93000354
303,BSY,-3081333.097159867
304,BTG,-28985033.550122738
305,BTGOF,-4962299.351939475
306,BUD,-14760669.050021708
307,BUHPF,3714720.3690255815
308,BURL,-14333249.479378197
309,BWA,-60594857.560135715
310,BWXT,-20278714.034212735
311,BX,-34970065.14000047
312,BXP,-43541799.44967946
313,BXS,-61623241.8200009
314,BYD,-66838335.680004425
315,BYDGF,5362142.1527459305
316,BYND,-7168116.012329927
317,BZ,-3313295.841298989
318,BZUN,-15206044.790961698
319,C,-65021784.10000299
320,CABO,-4616591.8063172735
321,CACC,-70234744.1800045
322,CACI,-75189104.50000203
323,CAE,-45169682.32999205
324,CAG,-67958275.38996504
325,CAGDF,1542693.6899999455
326,CAH,-69819139.9100062
327,CAHPF,-8035546.330893226
328,CAJ,-51425104.59999998
329,CANO,-2824859.660000001
330,CAR,-73431401.70000671
331,CARG,-8548930.445470138
332,CARR,-2497284.2463826095
333,CASBF,-2178295.8546293387
334,CASY,-73360227.39000209
335,CAT,-68260198.48999524
336,CB,-60379312.76999809
337,CBB-PB,-5859049.5799999675
338,CBGPY,986903.9120413394
339,CBOE,-17382224.72820872
340,CBPO,-24694568.32999997
341,CBRE,-39773794.999997295
342,CBRL,-74027428.14999321
343,CBSH,-63567094.82000694
344,CBT,-65086517.14999575
345,CBU,-65856913.099995516
346,CC,-15480593.55076689
347,CCCS,-2560082.8735326417
348,CCI,-56630038.330008425
349,CCJ,-56126286.85999796
350,CCK,-70444489.66
351,CCL,-69817325.14998934
352,CCMP,-48007987.45999937
353,CCOI,-50775694.449993975
354,CCXI,-20868822.36999988
355,CD,-3802304.6600000015
356,CDAY,-5272263.090000001
357,CDK,-7032476.819999998
358,CDLX,-10243895.76557212
359,CDNA,-19312005.737076074
360,CDNS,-76272697.91000047
361,CDW,-11855696.409589887
362,CE,-35601414.54000005
363,CEG,-888338.0841748071
364,CENT,-70453880.1899993
365,CENTA,-36357291.42979108
366,CERE,-3211121.898544761
367,CERN,-71513395.69999838
368,CERT,-3004003.5044148364
369,CF,-37418421.38999977
370,CFG,-11635958.877005382
371,CFLT,-3693086.122324621
372,CFR,-71677038.11999501
373,CFX,-26724954.11000004
374,CG,-18462273.730339218
375,CGC,-16881126.349847756
376,CGEAF,1388736.0179114705
377,CGJTF,-4331987.869999813
378,CGNX,-79118563.90000653
379,CHD,-68823019.87000577
380,CHDN,-63976901.69999584
381,CHE,-67659621.66000274
382,CHEOY,-15619378.789334752
383,CHGG,-16713551.619850526
384,CHH,-56013688.050005555
385,CHK,-2291827.033403309
386,CHKP,-61351931.92999681
387,CHL,-38353167.870000094
388,CHNG,-2100871.959999999
389,CHPT,-6078634.3202310335
390,CHRD,-24330367.591967117
391,CHRW,-53931946.47999915
392,CHRYY,-8363701.103645615
393,CHT,-31689346.32742508
394,CHTR,-16910185.605052065
395,CHWY,-6013070.721709677
396,CI,-65480769.78999869
397,CIEN,-59728066.080001906
398,CIFAF,444258.6800000073
399,CIGI,-56261919.929994464
400,CIM,-32105245.580120206
401,CINF,-68529589.67000677
402,CIT,-16367706.240000019
403,CIVI,-18361309.46000017
404,CL,-65531869.7299942
405,CLBEY,-5041889.882192748
406,CLCGY,-18352035.749821674
407,CLDR,-3820832.2500000056
408,CLF,-65495035.06000084
409,CLGX,-65675505.57000577
410,CLH,-80186245.3399985
411,CLR,-32586075.809999656
412,CLVT,-5920679.086416717
413,CLX,-64889628.990004726
414,CMA,-66046523.11999768
415,CMC,-65275607.63000111
416,CMCSA,-74918861.4599993
417,CMD,-53489152.84999817
418,CME,-37882927.49000125
419,CMG,-28009806.998865474
420,CMI,-68036908.10000493
421,CMPR,-35491086.360000476
422,CMS,-67900619.97000444
423,CNA,-65255402.58999616
424,CNC,-43779077.97999909
425,CNHI,-13200112.313984757
426,CNM,-1842323.4194467072
427,CNMD,-77269284.25999671
428,CNNE,-7357500.352771665
429,CNO,-39532825.249999136
430,CNP,-65376010.19000093
431,CNS,-37869780.440000944
432,CNX,-52026034.99999639
433,CNXC,-2070169.8724893124
434,COF,-59112963.83999543
435,COG,-62246732.64000479
436,COHR,-72586295.13000911
437,COIHY,-5860800.868993417
438,COIN,-3085645.032365741
439,COKE,-71800142.02999708
440,COLB,-70159899.62999685
441,COLD,-5651181.907855147
442,COLM,-56350531.690004826
443,CONE,-10155159.529999966
444,COO,-79908653.30001293
445,COOP,-23221279.85999995
446,COP,-69773424.98999682
447,COR,-13042059.399999954
448,CORT,-43735527.32000267
449,COST,-73420235.9900064
450,COTY,-16996126.999202114
451,COUP,-7501489.830000001
452,CPB,-68206915.970002
453,CPKPY,-60830839.31000277
454,CPNG,-3248951.6512878374
455,CPRI,-19949737.43176683
456,CPRT,-65570033.859996416
457,CPT,-53525541.41999612
458,CQP,-35072679.10999898
459,CR,-69976002.8200015
460,CRC,-2993107.1810047966
461,CRCT,-3758498.144472273
462,CREE,-64295124.77000502
463,CRGY,-1769496.3431682328
464,CRI,-36375797.25038143
465,CRL,-46296324.22999799
466,CRM,-38033276.38999961
467,CRON,-9486451.42902456
468,CROX,-37410129.89000198
469,CRSP,-11204357.01751737
470,CRSR,-3503879.176612263
471,CRUS,-79540880.99000338
472,CRWD,-5604524.826284757
473,CSCO,-74049518.98999298
474,CSGP,-57160651.15999728
475,CSIQ,-38800776.88011374
476,CSL,-62199982.69000828
477,CSLLY,-15876708.823835481
478,CSOD,-15068030.750000022
479,CSPCY,-4710189.98255276
480,CSQ,-30532620.31947655
481,CSX,-69094737.62999305
482,CSXXY,-6836928.05237018
483,CTAS,-73308896.05999564
484,CTKB,-3077477.234474513
485,CTLT,-13098381.120337259
486,CTSH,-58887533.70000108
487,CTVA,-4133478.4955847175
488,CTXS,-60128355.13000484
489,CUBE,-36993365.07022982
490,CUK,-37606774.02036347
491,CURLF,-8846777.149428168
492,CUZ,-67615276.16998932
493,CVBF,-62269805.70999916
494,CVE,-24477522.690386266
495,CVET,-3937136.0299999914
496,CVNA,-11107842.540226992
497,CVS,-68880548.72000074
498,CVT,-1576866.1000000013
499,CVX,-64475408.680000976
500,CW,-59092443.48999179
501,CWAN,-2011219.8357726303
502,CWEN,-11498756.50880797
503,CWEN-A,-16273252.522004565
504,CWH,-10851631.870745577
505,CWST,-58051964.59000202
506,CWT,-73215570.02000009
507,CXM,-3042617.4012625567
508,CXO,-23411748.66999999
509,CYBR,-52166147.219999276
510,CYGIY,11738927.59999997
511,CZR,-23111336.88263681
512,CZZ,-25047457.990000032
513,D,-60934083.45021999
514,DADA,-5287579.623703023
515,DAL,-36541185.86999957
516,DAN,-35901136.61989202
517,DAO,-6879949.506138463
518,DAR,-60686462.22000369
519,DASH,-3593531.041845396
520,DBRG,-15282838.790871
521,DBX,-6701683.981154872
522,DCI,-64951478.07999455
523,DCP,-32430456.92000019
524,DCPH,-8332688.73942197
525,DCT,-1753501.9600000018
526,DCUE,-553919.5699999994
527,DD,-68422639.33999075
528,DDOG,-5474431.502698617
529,DE,-70848414.09999979
530,DECK,-70752891.69000135
531,DEI,-34415667.810610525
532,DELL,-7215455.056290576
533,DFS,-33040193.800000288
534,DG,-19465569.068034317
535,DGX,-49390858.909998566
536,DHI,-70842472.99000235
537,DHR,-65453748.68999936
538,DIISY,-3804533.8899999955
539,DINO,-59905771.72000003
540,DIOD,-75363294.18000118
541,DIS,-68291183.51998894
542,DISH,-63292523.850004256
543,DITHF,9518.17119115669
544,DKNG,-5927557.397383705
545,DKS,-40085293.310002126
546,DLB,-33402357.46017848
547,DLGNF,3550422.4599999962
548,DLMAF,2302379.0559356282
549,DLO,-3454810.007463633
550,DLR,-33452969.010000747
551,DLTR,-63557770.229990035
552,DLVHF,34615.88943183782
553,DNA,-4989665.319362767
554,DNB,-3444430.089604781
555,DNKN,-10130765.529999988
556,DNLI,-9608149.628373925
557,DNP,-66311742.74002257
558,DNUT,-1826192.9082382075
559,DOCN,-3023885.005828414
560,DOCS,-2840838.060855425
561,DOCU,-7112871.170530385
562,DOOO,-6237632.311679239
563,DOOR,-16756494.64010983
564,DORM,-76107368.64000005
565,DOV,-66588085.53999725
566,DOW,-4318265.241330422
567,DOX,-53611404.919999495
568,DOYU,-6544663.894208882
569,DPZ,-37403829.89999878
570,DQ,-29386062.440353274
571,DRE,-67909613.62999208
572,DRI,-60498264.360006094
573,DRVN,-2863761.0058267093
574,DSCSY,-3692660.5330293193
575,DSGX,-57564015.39000184
576,DT,-5070851.668425934
577,DTCWY,-1347686.7390313
578,DTE,-62135083.18999262
579,DTM,-1277266.548014983
580,DTQ,-4592867.40000001
581,DUK,-63060582.11000306
582,DUOL,-2174285.8664971963
583,DV,-2809562.5256871628
584,DVA,-60159436.43999529
585,DVN,-69066410.58999793
586,DXC,-69516892.87020971
587,DXCM,-40513023.27999715
588,DY,-77687134.97000541
589,EA,-75519038.04000282
590,EAT,-70328790.72999668
591,EBAY,-58272588.38999459
592,EBC,-2406290.547036936
593,EBCOY,-5686242.415214471
594,EBS,-36133046.34001229
595,ECL,-66835578.9499998
596,ED,-64899543.4600033
597,EDIT,-13976952.076772321
598,EDR,-3058967.8598877797
599,EDU,-33687900.59000015
600,EDVMF,-38791381.679998584
601,EE,-1296258.068357769
602,EEFT,-61965701.12998953
603,EFX,-72007775.74000932
604,EGHSF,1560801.8374198747
605,EGO,-44704905.95000082
606,EGP,-60104564.97000295
607,EHC,-73449909.21999788
608,EIDX,-2231181.970000001
609,EIX,-67842326.8099896
610,EL,-54925989.63999355
611,ELAN,-6197985.646751887
612,ELEEF,-3724840.7999999616
613,ELS,-56799075.079999015
614,ELV,-39652982.71999834
615,EME,-57469714.76000907
616,EMLAF,1340201.2352104
617,EMN,-59463229.099993266
618,EMR,-65862056.450001374
619,EMRAF,-4265268.257872285
620,ENB,-48354887.92047691
621,ENBL,-11025579.130000021
622,ENOV,-30084787.540055048
623,ENPH,-25126384.9199995
624,ENR,-11812519.034776526
625,ENS,-37683461.479999535
626,ENSG,-29780559.53999974
627,ENTG,-53448673.26999922
628,ENV,-22772493.81451398
629,ENVX,-4550719.204106649
630,EOG,-70523056.5600044
631,EOGSF,103857277.1091579
632,EPAM,-16227986.799305186
633,EPD,-46497978.040035866
634,EPR-PG,-4152679.4415376107
635,EQC,-70110082.29988825
636,EQH,-5892480.20374712
637,EQIX,-53879852.06999335
638,EQR,-55822854.88000032
639,EQRX,-2380481.119999997
640,EQT,-66893247.280000255
641,EQUEY,8975942.545484144
642,EQX,-7062802.961221822
643,ERIC,-69402684.33005805
644,ERIE,-59567873.520001
645,ERRAF,-721200.0599999984
646,ES,-66934771.870001614
647,ESAB,-681525.1601150528
648,ESE,-70194803.37001073
649,ESGFF,498170.51000000257
650,ESGR,-46538512.96999857
651,ESI,-16328042.631300317
652,ESLT,-50463344.97999382
653,ESMT,-1291928.2400000007
654,ESNT,-12981667.167273501
655,ET,-31216435.450042453
656,ETN,-68193619.62999842
657,ETR,-62736425.720002316
658,ETRN,-7814703.019847252
659,ETSY,-13684516.914483711
660,ETWO,-4674707.120092281
661,EUZOF,3355372.24999998
662,EV,-64168465.2199952
663,EVBG,-10006001.218316166
664,EVCM,-2679999.457532849
665,EVEX,-1179553.4876345661
666,EVGO,-4682324.463895132
667,EVO,-33225077.51875246
668,EVR,-34488557.74999959
669,EVRG,-61555362.16000266
670,EVTC,-15818929.981176121
671,EVTL,-4022538.3349531884
672,EW,-46682492.4400429
673,EWBC,-49431236.349999934
674,EXAS,-51986416.739998996
675,EXC,-65323538.91018915
676,EXEL,-54953642.47999945
677,EXLS,-35141308.699922346
678,EXP,-56556347.15999996
679,EXPD,-72076576.56999628
680,EXPE,-35138424.850000404
681,EXPI,-14217958.673243053
682,EXPO,-78446201.44999291
683,EXR,-36918579.15000132
684,EYE,-9040856.21402831
685,F,-72194747.25999807
686,FA,-2415211.151636525
687,FAF,-19123801.478821725
688,FANG,-18167474.21000009
689,FAST,-76354133.34000395
690,FATE,-21580200.67988325
691,FB,-11173929.459999997
692,FBHS,-14097409.860000014
693,FCFS,-73891262.1000041
694,FCN,-61558638.31999882
695,FCNCA,-61598227.480009265
696,FCNCB,1816229.9500000374
697,FCX,-60020503.72999707
698,FDS,-55192952.060005285
699,FDX,-67705516.71998899
700,FE,-48208057.16011863
701,FELE,-67376479.32000546
702,FEYE,-12550919.86000003
703,FFIN,-59962173.43999975
704,FFIV,-57681239.90000357
705,FGEN,-17354893.158820804
706,FHAI,-6991880.880000013
707,FHB,-13930120.497502113
708,FHI,-51410909.179998696
709,FHN,-66429416.639998056
710,FIBK,-22767608.639353313
711,FICO,-68523988.30999997
712,FINGF,-8949734.849118356
713,FIS,-40130072.26946116
714,FISV,-70164174.4599999
715,FITB,-68828642.6399987
716,FIVE,-17295529.509960994
717,FIVN,-15885578.621114176
718,FIX,-55756139.669999324
719,FIZZ,-70830943.01000005
720,FL,-73721711.29000016
721,FLEX,-6567932.6603692835
722,FLIR,-60946192.47999889
723,FLO,-70999849.05999847
724,FLS,-70896385.77000448
725,FLT,-16161092.39999984
726,FLYW,-2890485.2159154993
727,FMC,-67468802.02999328
728,FMCC,-70958362.70000097
729,FMTX,-2069147.9499999979
730,FN,-25014721.190000374
731,FNB,-80092329.73999527
732,FND,-9191900.982988605
733,FNF,-35922989.41035898
734,FNMA,-69199630.75000186
735,FNV,-27879569.139999814
736,FOCS,-5414555.22
737,FOLD,-37253380.19000071
738,FORM,-43957538.3000037
739,FOUR,-4374373.329035363
740,FOX,-4639917.669690749
741,FOXA,-5139407.215165864
742,FOXF,-15141886.74839211
743,FQVLF,-22374832.024671577
744,FR,-58707288.000000946
745,FRC,-15607805.04999999
746,FRFHF,-30197534.390000753
747,FROG,-4256653.670449382
748,FRPT,-15642728.209999938
749,FRSH,-2796143.4405653905
750,FRT,-66366307.540000044
751,FSK,-12221913.492482107
752,FSLR,-34624927.2999991
753,FSLY,-7585368.348184915
754,FSR,-6267908.702972137
755,FSV,-8349327.630296628
756,FTCH,-7084014.899999994
757,FTDR,-6677627.898166655
758,FTNT,-24409976.531880908
759,FTS,-7026555.5832875725
760,FTV,-6261995.5910488805
761,FUL,-72634992.41000697
762,FUPBY,-5935348.008355597
763,FUTU,-6542771.526986969
764,FVRR,-6603395.013639653
765,FWONA,-14313336.467850698
766,FWONK,-12811935.787230883
767,FYBR,-2284054.93323052
768,FYRTY,444280.6399999636
769,G,-28707062.18022271
770,GATX,-66178856.16999367
771,GBCI,-69141286.77999909
772,GBDC,-19439244.348224662
773,GBNXF,-3276063.5400550156
774,GBT,24252908.629999697
775,GBTG,-871902.280027619
776,GD,-67180467.10000329
777,GDDY,-10783751.224079894
778,GDOT,-24561274.89941605
779,GDRX,-4338391.996313106
780,GDS,-12429866.515168013
781,GE,-67220854.82999809
782,GEF,-55161634.96999941
783,GETY,-2903059.4199490002
784,GFI,-72181482.43999614
785,GFL,-3306887.0896766502
786,GFS,-1795213.317443228
787,GGAL,-54842583.63999657
788,GGG,-64732173.77000183
789,GH,-7141647.271782107
790,GHC,-49650717.95999562
791,GIB,-51253786.1300032
792,GIL,-46061073.15000003
793,GILD,-74233234.62999153
794,GIS,-64419108.18999918
795,GKOS,-13718049.61930477
796,GL,-66722548.04999234
797,GLBE,-3376347.1807000153
798,GLIBA,-886574.4499999954
799,GLIBB,109118.8500000016
800,GLIBP,-626792.9800000049
801,GLPG,-10361640.04963099
802,GLPI,-13106399.029928071
803,GLW,-72641795.64000107
804,GM,-19961159.13071856
805,GMED,-16171533.89882238
806,GNHAF,14861417.510000015
807,GNNSF,-1009193.1418043921
808,GNRC,-23201444.04000015
809,GNTX,-78068865.77999172
810,GNW,-39946843.72999983
811,GO,-5347163.337843438
812,GOCO,-3030796.3142364887
813,GOLD,-44339109.710192256
814,GOLF,-7502784.475791914
815,GOOG,-25103129.524536222
816,GPC,-64431892.430000596
817,GPI,-55366623.16999792
818,GPK,-68698182.42999767
819,GPN,-43346363.470003195
820,GPS,-73337713.37999612
821,GRA,-64370663.04999385
822,GRAB,-4374930.504883867
823,GRFS,-18935928.059229575
824,GRMN,-46587100.38000176
825,GRUB,-10797658.429999998
826,GS,-47415929.409994654
827,GSEFF,-660955.8182696602
828,GSHD,-7297114.969839542
829,GSHN,-29032.47999999967
830,GSK,-67433199.8200016
831,GSX,-791458.1800000017
832,GT,-72782905.09000553
833,GTBIF,-9340233.93301587
834,GTLB,-2240929.722628326
835,GTLS,-36181808.189998165
836,GTMEY,-1628361.470000008
837,GWPH,-11719278.680000022
838,GWRE,-18016646.900374077
839,GWW,-66818951.339998886
840,GXO,-2387641.7305950928
841,H,-21278815.080000136
842,HAE,-69755071.29999745
843,HAIN,-68050395.79012804
844,HAL,-73226824.2099906
845,HALO,-44034669.80999818
846,HAS,-67372238.47000909
847,HASI,-14414492.860597784
848,HAYW,-3007626.9486784628
849,HBAN,-70200316.57999735
850,HBI,-34449727.139601134
851,HCA,-19303446.380000055
852,HCM,-12379804.060728263
853,HCP,-2566599.3309454513
854,HCXLF,427726.9600000023
855,HD,-69459986.30000079
856,HDB,-40604487.69987748
857,HDS,-5981941.520000001
858,HE,-62739110.76989909
859,HEI,-61425638.42999549
860,HELE,-74632006.08999695
861,HES,-68233317.79000263
862,HFC,-53317750.76000094
863,HGTY,-2488527.6349243447
864,HHC,-18197926.19999996
865,HI,-23953558.450871803
866,HIG,-54414551.75000058
867,HII,-15653135.000000132
868,HINOY,2311324.1799999718
869,HIW,-55494181.52992494
870,HKD,-1634388.3486841859
871,HKIB,-1878997.799999999
872,HL,-77223570.46999833
873,HLF,-34274824.689710446
874,HLFFF,1853756.2906770483
875,HLI,-9346505.08176823
876,HLNE,-8593987.298147574
877,HLT,-12234516.578934232
878,HMC,-57372942.70020559
879,HMSY,-62266526.360005945
880,HNP,-47232692.28999978
881,HOG,-71494029.21998943
882,HOLX,-80962255.73001698
883,HOMB,-32734543.92992448
884,HON,-69737163.17000389
885,HOOD,-2826349.5404848396
886,HPE,-8993755.425834386
887,HPHTY,202708.03999999294
888,HPK,-5732055.332908408
889,HPP,-19535496.85923162
890,HPQ,-73271390.1099968
891,HQY,-14444787.900805704
892,HRB,-69613962.89000343
893,HRC,-59700869.539998844
894,HRL,-67545833.65985984
895,HRMY,-3579117.683292296
896,HSIC,-61142724.46000759
897,HST,-73781415.25000103
898,HSY,-65682452.329993635
899,HUBB,-62924821.57000475
900,HUBS,-13131075.240000209
901,HUM,-73211226.33998679
